"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Oct-2023","EQ","827.40","827.40","812.35","819.50","819.00","814.85","819.05","916.00","395.10","32,81,387","2,68,76,34,855.40","51,448"
"10-Oct-2023","EQ","800.55","823.70","800.55","790.05","818.00","819.50","815.04","916.00","395.10","75,91,327","6,18,72,02,862.60","1,20,651"
"09-Oct-2023","EQ","815.00","818.80","785.00","830.75","788.50","790.05","798.65","916.00","395.10","59,94,282","4,78,73,36,779.10","1,20,240"
"06-Oct-2023","EQ","830.00","836.50","826.40","825.20","830.50","830.75","831.14","916.00","395.10","18,77,058","1,56,01,07,338.60","38,610"
"05-Oct-2023","EQ","830.85","832.00","820.25","824.60","825.00","825.20","825.31","916.00","395.10","20,83,505","1,71,95,28,767.40","52,617"
"04-Oct-2023","EQ","830.95","845.45","819.35","831.40","824.00","824.60","829.77","916.00","395.10","40,96,647","3,39,92,82,313.15","81,079"
